Comment,Designator,Footprint,LCSC, LCSC
"Driver1","A1","Modules:Pololu_Breakout-16_15.2x20.3mm",""
"Driver2","A2","Modules:Pololu_Breakout-16_15.2x20.3mm",""
"10µF/25V","C1,C2","Capacitors_SMD:C_0805","","C15850"
"100pF/50V","C3","Capacitors_SMD:C_0805","","C1790"
"SS210 Schottky Diode","D5,D6,D7,D8,D1,D2,D3,D4,D13,D14,D15,D16,D9,D10,D11,D12,D17,D18","Diode_SMD:D_SMA","","C14996"
"MountingHole","H1,H2,H3,H4","Mounting_Holes:MountingHole_3.2mm_M3",""
"12V GND","J0","Connectors_Phoenix:PhoenixContact_MCV-G_02x3.50mm_Vertical",""
"Stepper1","J1","Connectors_Phoenix:PhoenixContact_MCV-G_04x3.50mm_Vertical",""
"Stepper2","J2","Connectors_Phoenix:PhoenixContact_MCV-G_04x3.50mm_Vertical",""
"Opto 1","J3","Connectors_Phoenix:PhoenixContact_MCV-G_03x3.50mm_Vertical",""
"Opto 2","J4","Connectors_Phoenix:PhoenixContact_MCV-G_03x3.50mm_Vertical",""
"UART","J5","Socket_Strips:Socket_Strip_Straight_1x03_Pitch2.54mm",""
"Logo_Open_Hardware_Small","LOGO1","Symbols:OSHW-Logo2_14.6x12mm_SilkScreen",""
"10k","R1","Resistors_SMD:R_0603","","C25804"
"EN","SW1","Buttons_Switches_THT:SW_PUSH_6mm",""
"IO0","SW2","Buttons_Switches_THT:SW_PUSH_6mm",""
"AMS1117-3.3","U2","Package_TO_SOT_SMD:SOT-223","","C6186"
"ESP32-WROOM-32D","U3","Custom:ESP32-WROOM-32",""
