Comment,Designator,Footprint,LCSC, LCSC
"Driver1","A1","Modules:Pololu_Breakout-16_15.2x20.3mm",""
"Driver2","A2","Modules:Pololu_Breakout-16_15.2x20.3mm",""
"10µF/25V","C1,C2,C3","Capacitors_SMD:C_0805","","C15850"
"SS210 Schottky Diode","D5,D6,D7,D8,D1,D2,D3,D4,D13,D14,D15,D16,D9,D10,D11,D12,D17,D18","Diode_SMD:D_SMA","","C14996"
"12V GND","J0","Socket_Strips:Socket_Strip_Straight_1x02_Pitch2.54mm",""
"Stepper1","J1","Socket_Strips:Socket_Strip_Straight_1x04_Pitch2.54mm",""
"Stepper2","J2","Socket_Strips:Socket_Strip_Straight_1x04_Pitch2.54mm",""
"Opto 1","J3","Socket_Strips:Socket_Strip_Straight_1x03_Pitch2.54mm",""
"Opto 2","J4","Socket_Strips:Socket_Strip_Straight_1x03_Pitch2.54mm",""
"UART","J5","Socket_Strips:Socket_Strip_Straight_1x03_Pitch2.54mm",""
"10k","R1","Capacitors_SMD:C_0603","","C25804"
"EN","SW1","Buttons_Switches_THT:SW_PUSH_6mm",""
"IO0","SW2","Buttons_Switches_THT:SW_PUSH_6mm",""
"AMS1117-3.3","U2","Package_TO_SOT_SMD:SOT-223","","C6186"
"ESP32-WROOM-32D","U3","Custom:ESP32-WROOM-32",""
